name,parent,value
Origin,,
Classical,Origin,196
Rock,Origin,91
Jazz Music/Dance,Origin,84
Old-time,Origin,76
American Folk,Origin,70
Folk Music/Dance,Origin,64
Bluegrass,Origin,63
Scottish,Origin,53
Blues,Origin,42
School/Big/Jazz Band,Origin,38
Pop,Origin,32
Contra,Origin,27
English Country Dance Music/Morris,Origin,26
Country,Origin,24
Choir,Origin,21
French Canadian/Breton ,Origin,19
Americana,Origin,18
Lithurgical,Origin,17
Scandinavian/Swedish,Origin,15
Cape Breton,Origin,13
Musical Theater,Origin,12
Renaiss. &  Medieval,Origin,12
Quebecois,Origin,11
Guitar,Origin,11
Swing Dance/Music,Origin,11
Baroque,Origin,10
Ballet,Origin,10
Punk,Origin,10
Latin/Brazil. Music/Dance ,Origin,10
Klezmer,Origin,8
African Music / Dance,Origin,8
Reggae/Ska/Mento,Origin,8
Metal,Origin,8
Acadian(1)/Cajun,Origin,7
Gospel,Origin,7
Tap,Origin,7
Ballroom Dance,Origin,6
Salsa,Origin,6
Flamenco,Origin,6
Singer/Songwriter,Origin,6
Gypsy,Origin,5
Middle East. Music/Dance,Origin,5
Indian,Origin,5
Ragtime,Origin,5
New Age,Origin,5
Maritime/Sea Shanties ,Origin,5
Eastern European,Origin,4
Balkan,Origin,4
Hip Hop,Origin,4
World,Origin,4
Highland Pipes,Origin,4
Modern/Contemp. Music/Dance,Origin,4
Canadian Trad. Music/Dance,Origin,3
Brass Band,Origin,3
R&B,Origin,3
Disco,Origin,3
Original,Origin,3
Fusion,Origin,3
Folk - Italian/Napalese,Origin,3
Improv/Free Improvisation,Origin,3
Indie,Origin,3
Northumbrian / UK Trad,Origin,3
Other,Origin,90
